,0,1
269,1.8524443007470717e-25,Asset11Asset10
270,0.0,Asset11Asset12
271,0.0,Asset11Asset13
272,0.0,Asset11Asset14
273,1.7169656148446667e-25,Asset11Asset15
274,1.2155522024979962e-25,Asset11Asset16
275,0.0,Asset11Asset17
276,1.1861697942830422e-25,Asset11Asset18
277,3.1649506096359697e-28,Asset11Asset19
278,0.0,Asset11Asset20
279,0.0,Asset11Asset21
280,0.0,Asset11Asset22
281,3.665418210844936e-28,Asset11Asset23
282,1.171968995693454e-25,Asset11Asset24
283,0.0,Asset11Asset25
284,1.6125418754180404e-28,Asset11Asset26
285,2.761573523597742e-28,Asset11Asset27
286,0.0,Asset12Asset1
287,0.0,Asset12Asset2
288,0.0,Asset12Asset3
289,0.0,Asset12Asset4
290,0.0,Asset12Asset5
291,0.0,Asset12Asset6
292,0.0,Asset12Asset7
293,1.540663996794278e-29,Asset12Asset8
294,0.0,Asset12Asset9
295,0.0,Asset12Asset10
296,1.4724780145586825e-29,Asset12Asset11
297,0.0,Asset12Asset13
298,0.0,Asset12Asset14
299,0.0,Asset12Asset15
300,0.0,Asset12Asset16
301,0.0,Asset12Asset17
302,0.0,Asset12Asset18
303,0.0,Asset12Asset19
304,0.0,Asset12Asset20
305,0.0,Asset12Asset21
306,0.0,Asset12Asset22
307,0.0,Asset12Asset23
308,0.0,Asset12Asset24
309,0.0,Asset12Asset25
310,0.0,Asset12Asset26
311,0.0,Asset12Asset27
312,0.0,Asset13Asset1
313,2.5555963139524233e-29,Asset13Asset2
314,2.27510984601171e-29,Asset13Asset3
315,2.5562625402112107e-29,Asset13Asset4
316,2.4208872108881936e-29,Asset13Asset5
317,2.308723505630023e-29,Asset13Asset6
318,2.509471493390058e-29,Asset13Asset7
319,2.5678203823698544e-29,Asset13Asset8
320,2.5517022671594966e-29,Asset13Asset9
321,0.0,Asset13Asset10
322,2.579868516408048e-29,Asset13Asset11
323,2.5987359796463297e-29,Asset13Asset12
324,2.4134424416005508e-29,Asset13Asset14
325,0.0,Asset13Asset15
326,2.5562625402112107e-29,Asset13Asset16
327,2.4218934831765397e-29,Asset13Asset17
328,2.2704469683749794e-29,Asset13Asset18
329,2.6177505283025727e-29,Asset13Asset19
330,2.3999300500406278e-29,Asset13Asset20
331,2.3774115666122996e-29,Asset13Asset21
332,2.385116071783802e-29,Asset13Asset22
333,2.598015836957023e-29,Asset13Asset23
334,0.0,Asset13Asset24
335,2.574911029654645e-29,Asset13Asset25
336,2.3983797939336804e-29,Asset13Asset26
337,2.140746569112924e-29,Asset13Asset27
338,2.8250455546918673e-18,Asset14Asset1
339,1.591343108381142e-17,Asset14Asset2
340,6.482323290147e-19,Asset14Asset3
341,1.6788145051823997e-17,Asset14Asset4
342,0.0,Asset14Asset5
343,0.0,Asset14Asset6
344,2.5827353066088395e-18,Asset14Asset7
345,2.3858913584193778e-17,Asset14Asset8
346,1.9536949644025694e-17,Asset14Asset9
347,2.121600881773793e-18,Asset14Asset10
348,9.457921366563049e-18,Asset14Asset11
349,9.613580472033612e-18,Asset14Asset12
350,1.321322255159604e-17,Asset14Asset13
351,1.1024690985918986e-17,Asset14Asset15
352,1.6788145051823997e-17,Asset14Asset16
353,1.806648797484155e-19,Asset14Asset17
