,0,1
273,0.0,Asset11Asset15
274,0.0,Asset11Asset16
275,0.0,Asset11Asset17
276,0.0,Asset11Asset18
277,0.0,Asset11Asset19
278,0.0,Asset11Asset20
279,0.0,Asset11Asset21
280,0.0,Asset11Asset22
281,0.0,Asset11Asset23
282,0.0,Asset11Asset24
283,0.0,Asset11Asset25
284,0.0,Asset11Asset26
285,0.0,Asset11Asset27
286,5.206812528738076e-27,Asset12Asset1
287,5.91382529108245e-27,Asset12Asset2
288,4.491304559174117e-26,Asset12Asset3
289,3.446991504586903e-26,Asset12Asset4
290,9.782890838638363e-27,Asset12Asset5
291,1.0075651846861935e-26,Asset12Asset6
292,1.2489623585656938e-26,Asset12Asset7
293,0.0,Asset12Asset8
294,0.0,Asset12Asset9
295,4.2485680227124143e-26,Asset12Asset10
296,0.0,Asset12Asset11
297,4.735599894527406e-27,Asset12Asset13
298,1.1958685464789802e-22,Asset12Asset14
299,1.1052364905960366e-22,Asset12Asset15
300,6.1666058689295335e-27,Asset12Asset16
301,0.0,Asset12Asset17
302,5.047559718041874e-27,Asset12Asset18
303,0.0,Asset12Asset19
304,5.9262907094829546e-27,Asset12Asset20
305,5.7950806768337986e-27,Asset12Asset21
306,1.7269395176177308e-26,Asset12Asset22
307,0.0,Asset12Asset23
308,0.0,Asset12Asset24
309,2.648466755468408e-26,Asset12Asset25
310,9.767254087713728e-27,Asset12Asset26
311,5.742084771055386e-26,Asset12Asset27
312,0.0,Asset13Asset1
313,1.3935232135939483e-29,Asset13Asset2
314,0.0,Asset13Asset3
315,0.0,Asset13Asset4
316,0.0,Asset13Asset5
317,6.604593292267691e-27,Asset13Asset6
318,0.0,Asset13Asset7
319,0.0,Asset13Asset8
320,3.608086773680929e-27,Asset13Asset9
321,0.0,Asset13Asset10
322,5.659386526939825e-26,Asset13Asset11
323,0.0,Asset13Asset12
324,2.1598790696876725e-27,Asset13Asset14
325,0.0,Asset13Asset15
326,6.3325763413407985e-27,Asset13Asset16
327,0.0,Asset13Asset17
328,2.181526296580162e-26,Asset13Asset18
329,0.0,Asset13Asset19
330,0.0,Asset13Asset20
331,3.4379813117512566e-27,Asset13Asset21
332,3.418310789873875e-27,Asset13Asset22
333,0.0,Asset13Asset23
334,0.0,Asset13Asset24
335,0.0,Asset13Asset25
336,0.0,Asset13Asset26
337,0.0,Asset13Asset27
338,1.4293377450471922e-28,Asset14Asset1
339,1.8225898496630113e-29,Asset14Asset2
340,4.5629901765235384e-29,Asset14Asset3
341,5.304426052923152e-28,Asset14Asset4
342,0.0,Asset14Asset5
343,0.0,Asset14Asset6
344,2.869889163989449e-28,Asset14Asset7
345,3.614357307477586e-28,Asset14Asset8
346,5.471420472579978e-28,Asset14Asset9
347,1.5248156123564398e-29,Asset14Asset10
348,1.6895974954092252e-28,Asset14Asset11
349,4.205417281468679e-28,Asset14Asset12
350,1.4489583085323205e-29,Asset14Asset13
351,0.0,Asset14Asset15
352,4.804141214294608e-28,Asset14Asset16
353,1.437413297789909e-29,Asset14Asset17
354,1.4464419896322022e-28,Asset14Asset18
355,7.172544008233515e-28,Asset14Asset19
356,2.213709887286675e-29,Asset14Asset20
357,0.0,Asset14Asset21
358,0.0,Asset14Asset22
359,1.578844096568292e-28,Asset14Asset23
360,1.2662453519270872e-27,Asset14Asset24
361,1.817110995454361e-28,Asset14Asset25
362,0.0,Asset14Asset26
363,0.0,Asset14Asset27
364,0.0,Asset15Asset1
365,2.1477095160433526e-26,Asset15Asset2
366,2.734481675042832e-26,Asset15Asset3
367,3.9419430270247393e-26,Asset15Asset4
368,0.0,Asset15Asset5
369,0.0,Asset15Asset6
370,0.0,Asset15Asset7
371,3.7607491369911706e-27,Asset15Asset8
372,5.325739314545943e-26,Asset15Asset9
373,0.0,Asset15Asset10
374,0.0,Asset15Asset11
375,0.0,Asset15Asset12
376,3.703877060691755e-26,Asset15Asset13
377,0.0,Asset15Asset14
378,8.413835673130313e-27,Asset15Asset16
379,0.0,Asset15Asset17
